100 4 4
2.000000 0.100000
689 136 530 291 
309 195 316 542 
458 821 985 265 
933 742 865 192 
480 281 991 798 
749 785 316 914 
969 628 306 699 
505 987 398 870 
270 138 500 205 
120 587 797 557 
564 318 172 955 
527 803 462 541 
205 495 904 306 
286 319 280 730 
337 182 283 752 
632 464 396 427 
895 187 737 852 
685 857 691 600 
226 380 642 934 
690 464 198 930 
759 493 810 206 
999 914 455 425 
599 736 181 222 
480 523 566 316 
745 143 836 174 
367 242 817 294 
154 651 688 816 
663 805 560 217 
926 552 742 844 
145 518 697 246 
490 692 445 163 
237 753 387 216 
451 925 249 820 
367 101 1000 900 
190 776 845 819 
299 167 595 146 
363 818 621 775 
406 459 181 181 
508 309 941 295 
478 333 375 146 
206 858 805 935 
708 906 988 345 
384 476 646 901 
773 347 168 425 
302 734 321 748 
514 485 698 445 
385 653 826 120 
563 809 717 851 
330 603 314 399 
711 714 560 632 
897 725 712 201 
238 246 567 607 
140 984 281 902 
818 297 120 918 
636 289 823 720 
229 490 191 991 
665 971 198 405 
729 255 489 350 
724 621 277 799 
599 243 763 407 
364 594 219 501 
129 759 337 801 
916 995 326 143 
767 735 209 428 
316 850 401 554 
146 596 858 163 
366 674 850 984 
934 707 898 304 
506 498 518 816 
732 405 641 948 
766 641 553 209 
815 810 816 512 
404 615 672 586 
260 336 777 160 
220 909 911 887 
297 833 465 221 
277 328 410 496 
700 494 210 748 
140 137 637 430 
517 738 733 414 
846 350 576 105 
864 597 905 448 
608 887 452 860 
742 324 386 326 
575 124 656 738 
420 357 917 749 
297 172 654 800 
715 438 326 310 
547 752 580 563 
515 215 293 332 
619 869 754 639 
433 328 189 922 
821 635 106 745 
833 350 222 183 
842 627 556 473 
209 791 797 230 
555 993 328 526 
706 452 215 490 
507 161 943 670 
748 131 329 165 
